"","X","Name","University","Course","Year","Status","GRE_SCORE","Eng_test","Test_score","Undergrad_score","work_ex"
"21","22","Nishigandha","Arizona State University","Management Information System","Fall 2019 ","Admit","N.A. ","ENG TEST","NA ","65.30%","18 months"
"22","23","pranalimore808atgmail.com","Arizona State University","Management Information System","Fall 2018 ","Admit","305","ENG TEST","NA ","7.1 CGPA ",NA
"23","24","bostonner","Arizona State University","Management Information System","Fall 2018 ","Admit","315","TOEFL","104","77%","3 months"
"24","25","KrithikaCT","Arizona State University","Management Information System","Fall 2018 ","Admit","301","TOEFL","0","80.12%","60 months"
"25","26","Giridhar312","Arizona State University","Management Information System","Fall 2018 ","Admit","311","IELTS","7","7.74 CGPA ","25 months"
"26","27","Shreepriya","Arizona State University","Management Information System","Fall 2018 ","Admit","312","TOEFL","110","8.6 CGPA ","24 months"
"27","28","muktika","Arizona State University","Management Information System","Fall 2018 ","Admit","307","TOEFL","103","8 CGPA ","34 months"
"28","29","ssg-96","Arizona State University","Management Information System","Fall 2018 ","Admit","321","TOEFL","102","7.5 CGPA ","12 months"
"29","30","sankalp2610","Arizona State University","Management Information System","Fall 2018 ","Admit","306","TOEFL","99","74%",NA
"30","31","AsthaSh","Arizona State University","Management Information System","Fall 2018 ","Admit","310","TOEFL","110","7.49 CGPA ",NA
"31","32","Palaaaa","Arizona State University","Management Information System","Fall 2018 ","Admit","310","TOEFL","101","66%","22 months"
"32","33","RushilAnand","Arizona State University","Management Information System","Fall 2018 ","Admit","306","TOEFL","103","63.17%","27 months"
"33","34","apurvakharate","Arizona State University","Management Information System","Fall 2018 ","Admit","305","TOEFL","91","64%","15 months"
"34","35","GauravDharra","Arizona State University","Management Information System","Fall 2018 ","Admit","313","ENG TEST","NA ","75%","38 months"
"35","36","Nidhiss","Arizona State University","Management Information System","Fall 2018 ","Admit","299","TOEFL","88","83%","30 months"
"36","37","nino123456","Arizona State University","Management Information System","Fall 2019 ","Admit","N.A. ","ENG TEST","NA ","80%",NA
"37","38","bulbul007","Arizona State University","Management Information System","Fall 2018 ","Admit","314","TOEFL","91","7.93 CGPA ","16 months"
"38","39","AsadM","Arizona State University","Management Information System","Fall 2018 ","Admit","301","ENG TEST","NA ","65%","74 months"
"39","40","Abirami","Arizona State University","Management Information System","Fall 2018 ","Admit","305","IELTS","7.5","8.2 CGPA ","31 months"
"40","41","hanamana","Arizona State University","Management Information System","Fall 2018 ","Admit","318","TOEFL","111","6.68 CGPA ","6 months"
"41","43","shubhm","Arizona State University","Management Information System","Fall 2018 ","Reject","307","TOEFL","0","74%","15 months"
"42","44","Disha0701","Arizona State University","Management Information System","Fall 2018 ","Reject","308","TOEFL","84","68.50%","43 months"
"43","45","Rajpatil7","Arizona State University","Management Information System","Fall 2018 ","Reject","301","TOEFL","91","6.3 CGPA ","21 months"
"44","46","Rushikesh420","Arizona State University","Management Information System","Fall 2018 ","Reject","298","TOEFL","0","57.43%","6 months"
"45","47","Rohan14","Arizona State University","Management Information System","Fall 2018 ","Reject","310","TOEFL","96","68.68%","41 months"
"46","48","mragank","Arizona State University","Management Information System","Fall 2018 ","Reject","312","TOEFL","105","7.55 CGPA ","27 months"
"47","49","Dipti92","Arizona State University","Management Information System","Fall 2018 ","Reject","301","TOEFL","88","8.6 CGPA ","55 months"
"48","50","Michelle Pradeep","Arizona State University","Management Information System","Fall 2018 ","Reject","300","ENG TEST","NA ","63%","7 months"
"49","51","TrishaShekarC","Arizona State University","Management Information System","Fall 2018 ","Reject","303","TOEFL","90","67%","14 months"
"50","52","Dishasuyogi","Arizona State University","Management Information System","Fall 2018 ","Reject","308","TOEFL","84","68.94%","43 months"
"51","53","kappainho","Arizona State University","Management Information System","Fall 2018 ","Reject","305","TOEFL","98","53.63%","18 months"
"52","54","Setu04","Arizona State University","Management Information System","Fall 2018 ","Reject","308","TOEFL","102","7.09 CGPA ",NA
"53","55","somguria","Arizona State University","Management Information System","Fall 2018 ","Reject","302","IELTS","7","8.4 CGPA ","41 months"
"54","56","ALI52","Arizona State University","Management Information System","Fall 2018 ","Reject","309","TOEFL","0","6.03 CGPA ","28 months"
"55","57","acegohan","Arizona State University","Management Information System","Fall 2018 ","Reject","303","TOEFL","89","65%","15 months"
"56","58","ThePanda1295","Arizona State University","Management Information System","Fall 2017 ","Reject","316","TOEFL","107","7.16 CGPA ","6 months"
"57","59","Tahemin","Arizona State University","Management Information System","Fall 2017 ","Reject","302","TOEFL","92","71.10%","35 months"
"58","60","anmolhanda","Arizona State University","Management Information System","Fall 2017 ","Reject","311","TOEFL","101","82.20%","18 months"
"59","61","nirali8007","Arizona State University","Management Information System","Fall 2017 ","Reject","308","TOEFL","86","8.1 CGPA ","14 months"
"60","62","aw9","Arizona State University","Management Information System","Fall 2017 ","Reject","299","TOEFL","97","59%","12 months"
"92","12","AdityaShri1995","Boston University","Management Information System","Fall 2018 ","Admit","296","TOEFL","90","5.67 CGPA ","8 months"
"93","13","ishanwagle","Boston University","Management Information System","Fall 2018 ","Admit","316","TOEFL","106","6.75 CGPA ","5 months"
"94","14","charchil10","Boston University","Management Information System","Fall 2017 ","Admit","310","TOEFL","112","72.30%","22 months"
"95","15","apurvahg","Boston University","Management Information System","Fall 2016 ","Admit","310","TOEFL","97","56%","82 months"
"96","16","kekarthik1994","Boston University","Management Information System","Fall 2016 ","Admit","300","TOEFL","97","6.085 CGPA ","6 months"
"97","17","Tanisha","Boston University","Management Information System","Spring 2016 ","Admit","315","TOEFL","99","73.42%","26 months"
"98","18","nktchaudhari21","Boston University","Management Information System","Fall 2015 ","Admit","298","TOEFL","88","53%","20 months"
"99","19","vaishakh-sasalatti","Boston University","Management Information System","Fall 2015 ","Admit","309","TOEFL","108","7.5 CGPA ","10 months"
"141","22","MicroChip","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Admit","308","TOEFL","102","7.48 CGPA ","15 months"
"142","23","ratnesh","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Admit","315","TOEFL","108","83.30%","8 months"
"143","24","akanksha1811","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Admit","321","TOEFL","109","83%","18 months"
"144","25","hrgupta","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Admit","310","TOEFL","107","7.39 CGPA ","14 months"
"145","26","Debalinainferno","Carnegie Mellon University","Information Management and Systems","Spring 2018 ","Admit","315","TOEFL","109","85.40%","6 months"
"146","27","mihir0412","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Admit","315","TOEFL","110","8.6 CGPA ","3 months"
"147","28","Harishb","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Admit","329","TOEFL","0","75%","144 months"
"148","29","aknksgha","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Admit","316","IELTS","8","75%","44 months"
"149","30","puntuk","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Admit","316","TOEFL","104","8.55 CGPA ","60 months"
"150","31","rona2394","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Admit","317","TOEFL","0","8.57 CGPA ","16 months"
"151","32","ankit1234","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Admit","317","TOEFL","112","8.72 CGPA ","36 months"
"152","33","VIKI090","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Admit","314","TOEFL","108","66.50%","24 months"
"153","34","KoSanjana","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Admit","305","TOEFL","109","86%","25 months"
"154","35","ankit19910916","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Admit","314","TOEFL","109","77%","38 months"
"155","36","Rin0808","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Admit","318","TOEFL","103","90%","27 months"
"156","37","thevivekdwivedi","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Admit","320","TOEFL","111","7.98 CGPA ","30 months"
"157","38","rpatz12","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Admit","N.A. ","ENG TEST","NA ","8.34 CGPA ",NA
"158","39","hproxnrulz","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Admit","314","TOEFL","108","77.10%","22 months"
"159","40","hetsheth_15","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Admit","330","TOEFL","116","8.19 CGPA ",NA
"160","41","SomaguttaMahesh","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Admit","321","TOEFL","106","78%","36 months"
"161","43","lamps1995","Carnegie Mellon University","Information Management and Systems","Spring 2019 ","Reject","N.A. ","TOEFL","106","69%","12 months"
"162","44","APPUREDD","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Reject","321","TOEFL","109","81%","18 months"
"163","45","Chidvilas ","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Reject","318","IELTS","0","7.38 CGPA ","45 months"
"164","46","DeepTalati","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Reject","319","IELTS","7","85.45%","7 months"
"165","47","AsadM","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Reject","301","ENG TEST","NA ","65%","74 months"
"166","48","ankurm26","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Reject","322","TOEFL","110","3.1 CGPA ","12 months"
"167","49","Aditi00004","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Reject","324","TOEFL","106","7.8 CGPA ","33 months"
"168","50","shreyank96","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Reject","325","TOEFL","116","8.48 CGPA ","2 months"
"169","51","akshayrakesh","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Reject","N.A. ","TOEFL","107","7.65 CGPA ","31 months"
"170","52","anadirastogi47","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Reject","315","TOEFL","109","6.72 CGPA ","29 months"
"171","53","rajsoni","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Reject","293","TOEFL","101","8.72 CGPA ","20 months"
"172","54","Himanshu5393","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Reject","321","TOEFL","108","63.22%","21 months"
"173","55","Pavan1996","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Reject","318","TOEFL","109","6.75 CGPA ","13 months"
"174","56","ALI52","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Reject","309","TOEFL","0","6.03 CGPA ","28 months"
"175","57","RoshniDas","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Reject","314","IELTS","8","77.20%","20 months"
"176","58","manish1352","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Reject","330","TOEFL","107","9.23 CGPA ","15 months"
"177","59","Rishabhpanwar05","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Reject","329","TOEFL","110","7.4 CGPA ","4 months"
"178","60","GauravDharra","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Reject","313","ENG TEST","NA ","75%","38 months"
"179","61","pavankumarp1990","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Reject","317","TOEFL","106","73.40%","82 months"
"180","62","sahiltandon","Carnegie Mellon University","Information Management and Systems","Fall 2018 ","Reject","320","TOEFL","110","6.2 CGPA ","40 months"
"222","22","manishsombansh ","Carnegie Mellon University","Information Systems","Fall 2018 ","Admit","316","TOEFL","102","7.58 CGPA ","42 months"
"223","23","anandaltekar","Carnegie Mellon University","Information Systems","Fall 2018 ","Admit","320","TOEFL","107","69%","60 months"
"224","24","abhimalik96","Carnegie Mellon University","Information Systems","Fall 2020 ","Admit","316","TOEFL","116","8.19 CGPA ","3 months"
"225","25","Sonali2810","Carnegie Mellon University","Information Systems","Fall 2018 ","Admit","322","TOEFL","110","79.04%","27 months"
"226","26","suhailbarot","Carnegie Mellon University","Information Systems","Fall 2018 ","Admit","334","TOEFL","117","8.21 CGPA ",NA
"227","27","DC","Carnegie Mellon University","Information Systems","Fall 2018 ","Admit","324","TOEFL","109","7.4 CGPA ","21 months"
"228","28","kavya13","Carnegie Mellon University","Information Systems","Fall 2018 ","Admit","317","TOEFL","106","8.81 CGPA ","32 months"
"229","29","Samra ","Carnegie Mellon University","Information Systems","Fall 2018 ","Admit","316","TOEFL","112","8.48 CGPA ","21 months"
"230","30","Raghav06","Carnegie Mellon University","Information Systems","Fall 2018 ","Admit","317","TOEFL","104","8.3 CGPA ","23 months"
"231","31","GreAsp2017","Carnegie Mellon University","Information Systems","Fall 2018 ","Admit","323","TOEFL","112","66.21%","27 months"
