"","University","Year","Status","GRE_SCORE","Eng_test","Test_score","Undergrad_score","work_ex","Univ_ranking","Major_tier","Season"
"1","Arizona State University",0,"Admit",310.853540334817,"ENG TEST",112,6.53,18,115,2,"Fall"
"2","Arizona State University",1,"Admit",305,"ENG TEST",112,7.1,0,115,2,"Fall"
"3","Arizona State University",1,"Admit",315,"TOEFL",104,7.7,3,115,2,"Fall"
"4","Arizona State University",1,"Admit",301,"TOEFL",93.9891430466368,8.012,60,115,2,"Fall"
"5","Arizona State University",1,"Admit",311,"IELTS",98,7.74,25,115,2,"Fall"
"6","Arizona State University",1,"Admit",312,"TOEFL",110,8.6,24,115,2,"Fall"
"7","Arizona State University",1,"Admit",307,"TOEFL",103,8,34,115,2,"Fall"
"8","Arizona State University",1,"Admit",321,"TOEFL",102,7.5,12,115,2,"Fall"
"9","Arizona State University",1,"Admit",306,"TOEFL",99,7.4,0,115,2,"Fall"
"10","Arizona State University",1,"Admit",310,"TOEFL",110,7.49,0,115,2,"Fall"
"11","Arizona State University",1,"Admit",310,"TOEFL",101,6.6,22,115,2,"Fall"
"12","Arizona State University",1,"Admit",306,"TOEFL",103,6.317,27,115,2,"Fall"
"13","Arizona State University",1,"Admit",305,"TOEFL",91,6.4,15,115,2,"Fall"
"14","Arizona State University",1,"Admit",313,"ENG TEST",112,7.5,38,115,2,"Fall"
"15","Arizona State University",1,"Admit",299,"TOEFL",88,8.3,30,115,2,"Fall"
"16","Arizona State University",0,"Admit",313.242896464641,"ENG TEST",112,8,0,115,2,"Fall"
"17","Arizona State University",1,"Admit",314,"TOEFL",91,7.93,16,115,2,"Fall"
"18","Arizona State University",1,"Admit",301,"ENG TEST",112,6.5,74,115,2,"Fall"
"19","Arizona State University",1,"Admit",305,"IELTS",106,8.2,31,115,2,"Fall"
"20","Arizona State University",1,"Admit",318,"TOEFL",111,6.68,6,115,2,"Fall"
"21","Arizona State University",1,"Reject",307,"TOEFL",96.502015390541,7.4,15,115,2,"Fall"
"22","Arizona State University",1,"Reject",308,"TOEFL",84,6.85,43,115,2,"Fall"
"23","Arizona State University",1,"Reject",301,"TOEFL",91,6.3,21,115,2,"Fall"
"24","Arizona State University",1,"Reject",298,"TOEFL",92.3881484716582,5.743,6,115,2,"Fall"
"25","Arizona State University",1,"Reject",310,"TOEFL",96,6.868,41,115,2,"Fall"
"26","Arizona State University",1,"Reject",312,"TOEFL",105,7.55,27,115,2,"Fall"
"27","Arizona State University",1,"Reject",301,"TOEFL",88,8.6,55,115,2,"Fall"
"28","Arizona State University",1,"Reject",300,"ENG TEST",112,6.3,7,115,2,"Fall"
"29","Arizona State University",1,"Reject",303,"TOEFL",90,6.7,14,115,2,"Fall"
"30","Arizona State University",1,"Reject",308,"TOEFL",84,6.894,43,115,2,"Fall"
"31","Arizona State University",1,"Reject",305,"TOEFL",98,5.363,18,115,2,"Fall"
"32","Arizona State University",1,"Reject",308,"TOEFL",102,7.09,0,115,2,"Fall"
"33","Arizona State University",1,"Reject",302,"IELTS",98,8.4,41,115,2,"Fall"
"34","Arizona State University",1,"Reject",309,"TOEFL",92.8340994743624,6.03,28,115,2,"Fall"
"35","Arizona State University",1,"Reject",303,"TOEFL",89,6.5,15,115,2,"Fall"
"36","Arizona State University",2,"Reject",316,"TOEFL",107,7.16,6,115,2,"Fall"
"37","Arizona State University",2,"Reject",302,"TOEFL",92,7.11,35,115,2,"Fall"
"38","Arizona State University",2,"Reject",311,"TOEFL",101,8.22,18,115,2,"Fall"
"39","Arizona State University",2,"Reject",308,"TOEFL",86,8.1,14,115,2,"Fall"
"40","Arizona State University",2,"Reject",299,"TOEFL",97,5.9,12,115,2,"Fall"
"49","Carnegie Mellon University",1,"Admit",308,"TOEFL",102,7.48,15,37,3,"Fall"
"50","Carnegie Mellon University",1,"Admit",315,"TOEFL",108,8.33,8,37,3,"Fall"
"51","Carnegie Mellon University",1,"Admit",321,"TOEFL",109,8.3,18,37,3,"Fall"
"52","Carnegie Mellon University",1,"Admit",310,"TOEFL",107,7.39,14,37,3,"Fall"
"53","Carnegie Mellon University",1,"Admit",315,"TOEFL",109,8.54,6,37,3,"Spring"
"54","Carnegie Mellon University",1,"Admit",315,"TOEFL",110,8.6,3,37,3,"Fall"
"55","Carnegie Mellon University",1,"Admit",329,"TOEFL",103.999169580219,7.5,144,37,3,"Fall"
"56","Carnegie Mellon University",1,"Admit",316,"IELTS",112,7.5,44,37,3,"Fall"
"57","Carnegie Mellon University",1,"Admit",316,"TOEFL",104,8.55,60,37,3,"Fall"
"58","Carnegie Mellon University",1,"Admit",317,"TOEFL",108.74952988602,8.57,16,37,3,"Fall"
"59","Carnegie Mellon University",1,"Admit",317,"TOEFL",112,8.72,36,37,3,"Fall"
"60","Carnegie Mellon University",1,"Admit",314,"TOEFL",108,6.65,24,37,3,"Fall"
"61","Carnegie Mellon University",1,"Admit",305,"TOEFL",109,8.6,25,37,3,"Fall"
"62","Carnegie Mellon University",1,"Admit",314,"TOEFL",109,7.7,38,37,3,"Fall"
"63","Carnegie Mellon University",1,"Admit",318,"TOEFL",103,9,27,37,3,"Fall"
"64","Carnegie Mellon University",1,"Admit",320,"TOEFL",111,7.98,30,37,3,"Fall"
"65","Carnegie Mellon University",1,"Admit",319.809301702169,"ENG TEST",112,8.34,0,37,3,"Fall"
"66","Carnegie Mellon University",1,"Admit",314,"TOEFL",108,7.71,22,37,3,"Fall"
"67","Carnegie Mellon University",1,"Admit",330,"TOEFL",116,8.19,0,37,3,"Fall"
"68","Carnegie Mellon University",1,"Admit",321,"TOEFL",106,7.8,36,37,3,"Fall"
"69","Carnegie Mellon University",0,"Reject",316.090371748033,"TOEFL",106,6.9,12,37,3,"Spring"
"70","Carnegie Mellon University",1,"Reject",321,"TOEFL",109,8.1,18,37,3,"Fall"
"71","Carnegie Mellon University",1,"Reject",318,"IELTS",109.044260080031,7.38,45,37,3,"Fall"
"72","Carnegie Mellon University",1,"Reject",319,"IELTS",98,8.545,7,37,3,"Fall"
"73","Carnegie Mellon University",1,"Reject",301,"ENG TEST",112,6.5,74,37,3,"Fall"
"74","Carnegie Mellon University",1,"Reject",322,"TOEFL",110,3.1,12,37,3,"Fall"
"75","Carnegie Mellon University",1,"Reject",324,"TOEFL",106,7.8,33,37,3,"Fall"
"76","Carnegie Mellon University",1,"Reject",325,"TOEFL",116,8.48,2,37,3,"Fall"
"77","Carnegie Mellon University",1,"Reject",321.448018984718,"TOEFL",107,7.65,31,37,3,"Fall"
"78","Carnegie Mellon University",1,"Reject",315,"TOEFL",109,6.72,29,37,3,"Fall"
"79","Carnegie Mellon University",1,"Reject",293,"TOEFL",101,8.72,20,37,3,"Fall"
"80","Carnegie Mellon University",1,"Reject",321,"TOEFL",108,6.322,21,37,3,"Fall"
"81","Carnegie Mellon University",1,"Reject",318,"TOEFL",109,6.75,13,37,3,"Fall"
"82","Carnegie Mellon University",1,"Reject",309,"TOEFL",105.498231381446,6.03,28,37,3,"Fall"
"83","Carnegie Mellon University",1,"Reject",314,"IELTS",112,7.72,20,37,3,"Fall"
"84","Carnegie Mellon University",1,"Reject",330,"TOEFL",107,9.23,15,37,3,"Fall"
"85","Carnegie Mellon University",1,"Reject",329,"TOEFL",110,7.4,4,37,3,"Fall"
"86","Carnegie Mellon University",1,"Reject",313,"ENG TEST",112,7.5,38,37,3,"Fall"
"87","Carnegie Mellon University",1,"Reject",317,"TOEFL",106,7.34,82,37,3,"Fall"
"88","Carnegie Mellon University",1,"Reject",320,"TOEFL",110,6.2,40,37,3,"Fall"
"89","Carnegie Mellon University",1,"Admit",316,"TOEFL",102,7.58,42,37,3,"Fall"
"90","Carnegie Mellon University",1,"Admit",320,"TOEFL",107,6.9,60,37,3,"Fall"
"91","Carnegie Mellon University",0,"Admit",316,"TOEFL",116,8.19,3,37,3,"Fall"
"92","Carnegie Mellon University",1,"Admit",322,"TOEFL",110,7.904,27,37,3,"Fall"
"93","Carnegie Mellon University",1,"Admit",334,"TOEFL",117,8.21,0,37,3,"Fall"
"94","Carnegie Mellon University",1,"Admit",324,"TOEFL",109,7.4,21,37,3,"Fall"
"95","Carnegie Mellon University",1,"Admit",317,"TOEFL",106,8.81,32,37,3,"Fall"
"96","Carnegie Mellon University",1,"Admit",316,"TOEFL",112,8.48,21,37,3,"Fall"
"97","Carnegie Mellon University",1,"Admit",317,"TOEFL",104,8.3,23,37,3,"Fall"
"98","Carnegie Mellon University",1,"Admit",323,"TOEFL",112,6.621,27,37,3,"Fall"
"99","Carnegie Mellon University",1,"Admit",315,"TOEFL",105,9.56,19,37,3,"Fall"
"100","Carnegie Mellon University",1,"Admit",314,"TOEFL",109,8.6,24,37,3,"Fall"
"101","Carnegie Mellon University",0,"Admit",317.592272402634,"ENG TEST",112,6.93,36,37,3,"Fall"
"102","Carnegie Mellon University",1,"Admit",318,"TOEFL",118,8.43,30,37,3,"Fall"
"103","Carnegie Mellon University",1,"Admit",319,"TOEFL",113,7.34,26,37,3,"Fall"
"104","Carnegie Mellon University",1,"Admit",326,"TOEFL",111,8.48,24,37,3,"Fall"
"105","Carnegie Mellon University",1,"Admit",329,"TOEFL",105,9.21,13,37,3,"Fall"
"106","Carnegie Mellon University",2,"Admit",320,"TOEFL",105,8.1,24,37,3,"Fall"
"107","Carnegie Mellon University",4,"Admit",318,"TOEFL",104,9.24,16,37,3,"Fall"
"108","Carnegie Mellon University",8,"Admit",324,"TOEFL",113,6.55,0,37,3,"Fall"
"109","Carnegie Mellon University",1,"Reject",329,"TOEFL",113,7.65,40,37,3,"Fall"
"110","Carnegie Mellon University",1,"Reject",309,"TOEFL",101,7.61,9,37,3,"Fall"
"111","Carnegie Mellon University",1,"Reject",314,"TOEFL",110,7.2,60,37,3,"Fall"
"112","Carnegie Mellon University",1,"Reject",316.761884439391,"TOEFL",104,8.15,33,37,3,"Fall"
"113","Carnegie Mellon University",1,"Reject",320,"TOEFL",108.560072866665,7.54,7,37,3,"Fall"
"114","Carnegie Mellon University",1,"Reject",322,"TOEFL",106,7.29,26,37,3,"Fall"
"115","Carnegie Mellon University",1,"Reject",315,"TOEFL",101,8.45,24,37,3,"Fall"
"116","Carnegie Mellon University",1,"Reject",321,"TOEFL",109,6,29,37,3,"Fall"
"117","Carnegie Mellon University",1,"Reject",319,"TOEFL",110,8.98,6,37,3,"Fall"
